,Time Travel,World War II,Puzzle,Horror,Story Rich,Dark,Local Multiplayer,Atmospheric,Controller,Moddable,FPS,Adventure,Action,Cartoony,First-Person,Parkour,Local Co-Op,Dark Fantasy,Online Co-Op,Heist,Indie,2D,Classic,Stealth,War,Historical,Multiplayer,Gore,Third Person,Hack and Slash,Fantasy,Casual,Pixel Graphics,Shooter,Great Soundtrack,Top-Down,Anime,Strategy,Tanks,Open World,Singleplayer,Crime,Co-op,Platformer,Zombies,Survival Horror,Third-Person Shooter,Survival,Loot,Time Manipulation
10090,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
13500,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
22364,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113020,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0
226560,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0
